date,channel,campaign,impressions,clicks,sessions,spend
2025-11-20,LinkedIn Ads,Decision Makers,1080,8,7,61.91
2026-04-17,Google ads,High Intent Search,1078,51,46,114.47
2026-04-17,Direct,Demo Page Direct,36,36,36,0.0
2026-06-16,LinkedIn Ads,SMB Growth,1199,8,7,45.57
2026-06-08,Meta Ads,Lead Magnet,4818,61,53,39.15
2026-01-17,LinkedIn Ads,SMB Growth,489,3,3,21.43
2026-03-16,Direct,Brand Direct,95,95,95,0.0
2026-04-29,Referral,Partner Network,23,23,23,19.03
2026-01-16,Direct,Demo Page Direct,28,28,28,0.0
2026-05-04,Meta Ads,Lead Magnet,3663,44,41,33.83
2026-06-07,Organic Search,SEO Product Pages,3750,120,120,0.0
2026-05-12,Meta Ads,Lead Magnet,5442,57,53,39.43
2025-12-10,Direct,Returning Visitors,43,43,43,0.0
2026-03-07,Email,Reactivation,474,18,18,6.5
2025-11-07,Direct,Returning Visitors,42,42,42,0.0
2025-11-11,Google Ads,Competitor Search,408,16,14,50.4
2026-06-29,Direct,Brand Direct,126,126,126,0.0
2026-02-06,Direct,Returning Visitors,37,37,37,0.0
2026-06-12,Referral,Industry Events,3,3,3,0.0
2026-01-10,Google Ads,High Intent Search,527,25,22,56.25
2026-03-06,Email,Newsletter,947,36,36,6.5
2026-02-09,Google Ads,Competitor Search,401,17,16,49.6
2026-04-16,Direct,Returning Visitors,55,55,55,0.0
2026-03-09,Meta Ads,Awareness Video,8822,91,81,51.39
2026-02-17,Direct,Brand Direct,105,105,105,0.0
2026-05-29,Referral,Partner Network,14,14,14,16.89
2026-04-21,Google Ads,Restaurant Operations,470,20,18,44.1
2026-03-22,Direct,Returning Visitors,25,25,25,0.0
2026-04-30,Google Ads,Restaurant Operations,493,22,19,45.44
2025-12-26,Meta Ads,Awareness Video,4427,60,53,35.87
2025-11-16,Google Ads,High Intent Search,533,26,23,55.46
2026-03-05,Google Ads,High Intent Search,782,38,36,95.7
2026-03-27,Email,Lead Nurture,658,25,25,6.5
2025-12-29,Direct,Returning Visitors,24,24,24,0.0
2025-12-19,LinkedIn Ads,Operations Leaders,687,5,4,35.85
2026-03-22,Organic Search,SEO Product Pages,3312,106,106,0.0
2026-03-25,Email,Reactivation,526,20,20,6.5
2026-01-20,LinkedIn Ads,SMB Growth,714,5,5,33.82
2026-01-31,Meta Ads,Awareness Video,6953,91,81,45.79
2026-04-18,Meta Ads,Awareness Video,4704,63,54,38.95
2025-12-17,Direct,Brand Direct,95,95,95,0.0
2026-05-01,Referral,Customer Referral,11,11,11,0.0
2026-05-19,Organic Search,SEO Product Pages,4875,156,156,0.0
2026-03-13,LinkedIn Ads,Decision Makers,1176,8,7,56.87
2026-03-01,LinkedIn Ads,Operations Leaders,587,4,4,26.07
2026-04-26,Google Ads,Restaurant Operations,341,15,14,26.61
2026-05-20,LinkedIn Ads,SMB Growth,1039,8,7,40.15
2026-04-26,Referral,Partner Network,13,13,13,13.48
2026-02-17,LinkedIn Ads,Operations Leaders,1005,7,6,43.67
2026-01-25,Direct,Returning Visitors,47,47,47,0.0
2026-03-02,Direct,Returning Visitors,44,44,44,0.0
2026-06-11,LinkedIn Ads,SMB Growth,1006,7,6,40.82
2025-12-05,Meta Ads,Lead Magnet,3918,46,42,33.13
2026-06-17,Email,Lead Nurture,974,37,37,6.5
2026-05-14,Google Ads,High Intent Search,1023,49,44,117.06
2026-01-25,Direct,Brand Direct,73,73,73,0.0
2026-03-31,Referral,Partner Network,25,25,25,14.5
2026-02-09,Meta Ads,Lead Magnet,3385,44,39,35.53
2026-04-20,Google Ads,High Intent Search,786,35,30,80.94
2026-02-24,Referral,Customer Referral,15,15,15,0.0
2025-11-08,Google Ads,High Intent Search,755,32,29,66.52
2026-02-17,Referral,Industry Events,10,10,10,0.0
2026-04-19,LinkedIn Ads,Decision Makers,636,5,5,39.94
2026-04-14,Organic Search,SEO Guides,4656,149,149,0.0
2026-06-28,Google Ads,Competitor Search,343,16,15,44.18
2026-05-17,Google Ads,High Intent Search,758,33,30,75.15
2026-04-11,Google Ads,High Intent Search,689,35,32,78.29
2026-03-25,Google Ads,Competitor Search,428,18,17,50.29
2026-05-30,Referral,Customer Referral,9,9,9,0.0
2026-03-16,Meta Ads,Awareness Video,9710,111,96,58.48
2026-01-26,Direct,Returning Visitors,39,39,39,0.0
2026-01-10,Referral,Customer Referral,11,11,11,0.0
2026-02-24,Referral,Partner Network,19,19,19,15.75
2026-06-03,Organic Search,SEO Product Pages,4625,148,148,0.0
2026-05-30,Direct,Brand Direct,88,88,88,0.0
2026-04-26,Email,Newsletter,895,34,34,6.5
2026-01-13,Direct,Demo Page Direct,21,21,21,0.0
2025-12-01,Google Ads,High Intent Search,728,36,32,83.53
2025-12-20,LinkedIn Ads,Operations Leaders,573,4,4,26.06
2026-06-10,Meta Ads,Retargeting,2673,36,31,31.93
2025-11-08,Meta Ads,Lead Magnet,1915,24,21,18.18
2026-04-10,LinkedIn Ads,Operations Leaders,985,7,6,48.8
2026-03-02,LinkedIn Ads,Operations Leaders,951,6,6,46.17
2026-06-08,Referral,Industry Events,15,15,15,0.0
2026-03-22,Referral,Industry Events,7,7,7,0.0
2026-02-07,Email,Newsletter,421,16,16,6.5
2026-04-20,LinkedIn Ads,SMB Growth,700,5,5,33.09
2026-06-12,GOOGLE ADS ,Competitor Search,376,19,16,56.99
2026-05-25,LinkedIn Ads,Decision Makers,1188,7,6,55.46
2026-03-06,Email,Reactivation,553,21,21,6.5
2025-12-05,Referral,Customer Referral,12,12,12,0.0
2026-02-15,LinkedIn Ads,Operations Leaders,694,4,4,28.36
2026-05-25,Email,Reactivation,500,19,19,6.5
2026-01-26,Google Ads,High Intent Search,1208,52,45,121.52
2026-05-14,Organic Search,SEO Product Pages,4719,151,151,0.0
2026-05-11,LinkedIn Ads,Operations Leaders,1005,6,5,43.13
2026-03-08,Meta Ads,Awareness Video,7675,79,69,47.9
2026-04-30,Meta Ads,Retargeting,1997,26,23,22.73
2025-12-09,Google Ads,Restaurant Operations,349,16,15,33.78
2026-02-23,Referral,Customer Referral,13,13,13,0.0
2025-11-14,Google Ads,High Intent Search,738,32,28,83.96
2026-01-09,Google Ads,High Intent Search,997,47,43,114.73
2025-11-25,Direct,Brand Direct,96,96,96,0.0
2026-02-28,Organic Search,SEO Product Pages,2688,86,86,0.0
2025-11-03,Google Ads,Competitor Search,292,14,12,44.44
2025-11-14,Organic Search,SEO Guides,3688,118,118,0.0
2025-11-02,Direct,Brand Direct,71,71,71,0.0
2026-06-06,Organic Search,SEO Comparison,1281,41,41,0.0
2025-12-09,LinkedIn Ads,Decision Makers,818,6,5,52.12
2025-11-03,Direct,Brand Direct,96,96,96,0.0
2026-06-13,Google Ads,Restaurant Operations,346,15,13,33.08
2025-12-30,Meta Ads,Lead Magnet,1738,21,19,17.34
2025-12-09,Google Ads,Competitor Search,319,15,14,48.15
2025-11-12,Google Ads,Competitor Search,356,18,16,56.78
2025-11-30,Direct,Returning Visitors,39,39,39,0.0
2026-05-04,Google Ads,High Intent Search,1054,51,47,110.51
2025-11-08,Organic Search,SEO Guides,2062,66,66,0.0
2026-02-25,LinkedIn Ads,SMB Growth,985,7,6,37.1
2026-06-05,Direct,Brand Direct,132,132,132,0.0
2026-05-01,Organic Search,SEO Product Pages,4312,138,138,0.0
2025-11-30,Email,Newsletter,605,23,23,6.5
2026-02-07,Google Ads,High Intent Search,880,36,31,78.01
2026-03-14,LinkedIn Ads,Decision Makers,914,6,5,46.12
2026-05-15,Email,Lead Nurture,474,18,18,6.5
2026-02-05,google ads,Restaurant Operations,474,23,20,53.46
2026-01-13,Organic Search,SEO Product Pages,4812,154,154,0.0
2026-01-20,Google Ads,Restaurant Operations,508,22,20,45.13
2025-11-29,Direct,Returning Visitors,33,33,33,0.0
2025-12-31,Google Ads,High Intent Search,547,23,22,52.68
2025-11-30,Organic Search,SEO Guides,2406,77,77,0.0
2026-01-19,Meta Ads,Lead Magnet,3735,44,38,32.47
2026-04-03,LinkedIn Ads,SMB Growth,699,5,5,33.69
2026-05-01,Google Ads,Competitor Search,334,14,12,46.15
2025-12-13,Organic Search,SEO Product Pages,2531,81,81,0.0
2026-04-18,Organic Search,SEO Guides,3594,115,115,0.0
2026-03-18,Google Ads,Restaurant Operations,521,21,19,45.9
2025-12-24,Meta Ads,Awareness Video,4344,53,50,32.62
2026-03-29,Meta Ads,Retargeting,1348,15,14,14.23
2026-01-20,Referral,Customer Referral,15,15,15,0.0
2026-02-11,Google Ads,Restaurant Operations,420,18,17,40.35
2026-02-04,Google Ads,Restaurant Operations,504,23,20,44.87
2026-04-14,Email,Newsletter,974,37,37,6.5
2025-12-17,Organic Search,SEO Guides,4531,145,145,0.0
2026-06-23,LinkedIn Ads,SMB Growth,1150,7,6,40.94
2025-11-06,Direct,Brand Direct,100,100,100,0.0
2026-06-14,Referral,Customer Referral,11,11,11,0.0
2026-05-03,Organic Search,SEO Guides,3031,97,97,0.0
2026-05-08,Direct,Brand Direct,107,107,107,0.0
2025-11-06,Email,Newsletter,974,37,37,6.5
2026-04-04,Google Ads,Competitor Search,240,11,9,35.35
2026-06-23,Organic Search,SEO Comparison,2062,66,66,0.0
2026-04-12,Referral,Partner Network,12,12,12,13.19
2026-05-25,Email,Newsletter,1184,45,45,6.5
2026-02-28,Direct,Brand Direct,74,74,74,0.0
2026-05-16,Google Ads,Restaurant Operations,357,16,14,34.35
2026-02-17,Direct,Demo Page Direct,24,24,24,0.0
2026-06-06,Email,Newsletter,763,29,29,6.5
2025-12-08,Meta Ads,Lead Magnet,2603,36,32,28.63
2026-01-09,Email,Newsletter,842,32,32,6.5
2026-03-05,Google Ads,Restaurant Operations,484,21,18,41.68
2026-04-13,Google Ads,Competitor Search,416,18,17,54.61
2026-01-13,Organic Search,SEO Guides,3656,117,117,0.0
2025-12-17,Email,Lead Nurture,737,28,28,6.5
2026-01-28,Referral,Customer Referral,18,18,18,0.0
2026-04-23,Meta Ads,Lead Magnet,3259,44,41,33.12
2026-02-17,Email,Lead Nurture,500,19,19,6.5
2026-02-19,Meta Ads,Lead Magnet,3984,46,40,34.78
2026-04-09,LinkedIn Ads,SMB Growth,783,5,4,34.4
2026-05-29,Referral,Customer Referral,19,19,19,0.0
2026-06-27,Referral,Partner Network,6,6,6,12.39
2026-03-24,LinkedIn Ads,Operations Leaders,636,5,4,39.21
2026-01-15,Direct,Returning Visitors,60,60,60,0.0
2026-01-25,Email,Lead Nurture,263,10,10,6.5
2025-12-20,Direct,Returning Visitors,29,29,29,0.0
2026-06-16,Google Ads,High Intent Search,1032,44,38,103.7
2025-12-23,Google Ads,Competitor Search,183,9,8,26.94
2025-12-24,LinkedIn Ads,Decision Makers,605,4,4,29.18
2026-06-29,Direct,Returning Visitors,62,62,62,0.0
2026-05-04,Referral,Industry Events,10,10,10,0.0
2026-05-22,Meta Ads,Awareness Video,8946,106,95,60.23
2026-05-25,Organic Search,SEO Guides,3875,124,124,0.0
2025-12-22,Email,Newsletter,447,17,17,6.5
2026-06-06,Meta Ads,Lead Magnet,3172,40,36,31.16
2026-05-21,Organic Search,SEO Comparison,1531,49,49,0.0
2026-06-04,Organic Search,SEO Product Pages,5062,162,162,0.0
2026-02-26,Email,Reactivation,500,19,19,6.5
2026-04-03,Direct,Brand Direct,114,114,114,0.0
2025-12-14,Direct,Brand Direct,83,83,83,0.0
2026-03-25,Google Ads,Restaurant Operations,592,28,24,57.68
2026-03-31,LinkedIn Ads,Decision Makers,1318,9,8,69.21
2026-03-17,Email,Reactivation,553,21,21,6.5
2025-11-04,Organic Search,SEO Guides,3312,106,106,0.0
2026-06-23,Meta Ads,Lead Magnet,5442,54,50,39.81
2026-02-28,Organic Search,SEO Comparison,1156,37,37,0.0
2026-03-04,Referral,Partner Network,20,20,20,16.33
2026-05-04,Direct,Demo Page Direct,31,31,31,0.0
2025-12-30,Direct,Demo Page Direct,19,19,19,0.0
2026-01-22,Meta Ads,Retargeting,2135,24,21,22.72
2026-03-13,meta ads,Awareness Video,9077,105,96,63.87
2026-06-06,Email,Lead Nurture,500,19,19,6.5
2025-11-21,Direct,Returning Visitors,49,49,49,0.0
2026-02-10,LinkedIn Ads,SMB Growth,856,6,5,37.16
2026-04-24,Referral,Customer Referral,18,18,18,0.0
2026-04-28,LinkedIn Ads,SMB Growth,725,5,5,27.74
2026-02-27,Referral,Customer Referral,10,10,10,0.0
2026-06-20,Email,Lead Nurture,579,22,22,6.5
2025-11-03,Direct,Returning Visitors,42,42,42,0.0
2026-06-06,Direct,Brand Direct,76,76,76,0.0
2025-11-26,Organic Search,SEO Guides,3312,106,106,0.0
2026-02-18,Google Ads,High Intent Search,680,32,28,80.59
2026-02-22,Email,Newsletter,816,31,31,6.5
2026-02-09,Email,Reactivation,316,12,12,6.5
2026-03-21,Google Ads,High Intent Search,720,31,27,70.45
2026-05-10,LinkedIn Ads,SMB Growth,661,4,4,26.63
2025-12-28,Google Ads,Restaurant Operations,200,8,7,17.43
2026-05-01,Email,Lead Nurture,632,24,24,6.5
2026-02-25,Referral,Industry Events,7,7,7,0.0
2026-05-06,Direct,Brand Direct,116,116,116,0.0
2026-06-18,Meta Ads,Awareness Video,9868,124,114,75.79
2025-12-21,Organic Search,SEO Product Pages,3000,96,96,0.0
2026-01-26,Email,Newsletter,842,32,32,6.5
2026-05-21,Email,Lead Nurture,579,22,22,6.5
2026-05-23,Google Ads,High Intent Search,703,29,26,65.68
2026-06-11,Organic Search,SEO Product Pages,4969,159,159,0.0
2026-01-04,Google Ads,High Intent Search,565,28,26,66.41
2026-04-11,Google Ads,Restaurant Operations,365,15,13,31.82
2026-06-20,Referral,Customer Referral,6,6,6,0.0
2026-03-01,Referral,Partner Network,12,12,12,12.24
2025-11-20,Direct,Returning Visitors,42,42,42,0.0
2026-05-22,Referral,Industry Events,8,8,8,0.0
2026-02-06,LinkedIn Ads,Operations Leaders,801,6,5,40.75
2026-01-06,Email,Newsletter,868,33,33,6.5
2026-01-29,Email,Newsletter,842,32,32,6.5
2026-03-28,LinkedIn Ads,Operations Leaders,601,4,4,32.08
2026-06-07,Organic Search,SEO Guides,3281,105,105,0.0
2026-03-09,Google Ads,Competitor Search,269,14,12,46.0
2026-03-18,Google Ads,Competitor Search,381,16,15,46.15
2026-05-06,Email,Lead Nurture,658,25,25,6.5
2026-02-14,Organic Search,SEO Product Pages,3562,114,114,0.0
2026-04-10,LinkedIn Ads,Decision Makers,1299,8,7,63.52
2026-03-30,Organic Search,SEO Guides,4062,130,130,0.0
2026-05-06,linkedin ads,SMB Growth,965,6,6,36.15
2025-11-27,Direct,Brand Direct,87,87,87,0.0
2026-02-07,Meta Ads,Awareness Video,5950,76,66,45.32
2026-03-03,Email,Newsletter,816,31,31,6.5
2026-03-14,Organic Search,SEO Comparison,969,31,31,0.0
2026-01-03,Direct,Returning Visitors,18,18,18,0.0
2025-12-19,Google Ads,High Intent Search,995,42,37,93.34
2026-05-06,Direct,Returning Visitors,59,59,59,0.0
2026-02-22,Organic Search,SEO Guides,2938,94,94,0.0
2026-02-12,Referral,Partner Network,18,18,18,14.26
2026-01-01,Google Ads,Restaurant Operations,264,13,11,29.68
2025-12-29,Referral,Customer Referral,9,9,9,0.0
2026-03-06,Organic Search,SEO Guides,3781,121,121,0.0
2026-03-25,Google Ads,High Intent Search,858,41,36,91.39
2026-06-19,Meta Ads,Lead Magnet,3610,42,38,29.7
2026-05-07,Google Ads,Competitor Search,354,16,14,49.31
2026-05-28,LinkedIn Ads,Operations Leaders,986,7,7,46.74
2026-06-30,Organic Search,SEO Comparison,1844,59,59,0.0
2026-01-08,Direct,Demo Page Direct,35,35,35,0.0
2026-01-06,Direct,Returning Visitors,44,44,44,0.0
2025-12-12,Google Ads,High Intent Search,973,44,41,105.55
2025-12-24,Email,Newsletter,368,14,14,6.5
2026-01-27,Direct,Returning Visitors,53,53,53,0.0
2026-01-14,LinkedIn Ads,Decision Makers,1176,8,7,61.29
2025-11-06,Google Ads,Competitor Search,396,17,15,49.25
2026-06-21,Direct,Returning Visitors,46,46,46,0.0
2026-01-26,Meta Ads,Lead Magnet,4586,56,49,39.74
2026-01-05,LinkedIn Ads,Operations Leaders,807,6,6,40.08
2026-05-31,Linkedin Ads,SMB Growth,649,5,4,27.08
2025-12-17,Referral,Partner Network,11,11,11,16.96
2026-03-08,Meta Ads,Retargeting,1460,18,17,17.81
2026-05-06,Email,Newsletter,1105,42,42,6.5
2026-03-25,Direct,Demo Page Direct,32,32,32,0.0
2026-02-16,LinkedIn Ads,SMB Growth,913,6,5,34.72
2025-11-23,Referral,Partner Network,15,15,15,10.02
2026-06-01,Referral,Industry Events,15,15,15,0.0
2026-01-22,google ads,High Intent Search,928,42,37,97.49
2026-05-19,Email,Reactivation,421,16,16,6.5
2026-02-03,LinkedIn Ads,Operations Leaders,1004,6,6,37.95
2026-05-26,Email,Reactivation,632,24,24,6.5
2026-05-20,Organic Search,SEO Guides,4625,148,148,0.0
2025-12-03,Google Ads,High Intent Search,991,39,35,84.57
2025-11-17,Direct,Brand Direct,88,88,88,0.0
2026-06-24,Direct,Brand Direct,138,138,138,0.0
2026-05-18,Referral,Customer Referral,12,12,12,0.0
2026-03-05,Email,Reactivation,447,17,17,6.5
2026-02-07,Organic Search,SEO Product Pages,3438,110,110,0.0
2026-01-07,Referral,Partner Network,10,10,10,16.22
2026-01-31,Google Ads,High Intent Search,902,36,32,68.72
2025-12-29,Organic Search,SEO Product Pages,2219,71,71,0.0
2026-05-07,Referral,Partner Network,23,23,23,15.45
2026-04-09,Organic Search,SEO Guides,3688,118,118,0.0
2026-05-03,Direct,Brand Direct,92,92,92,0.0
2026-03-08,Email,Newsletter,553,21,21,6.5
2026-03-13,LinkedIn Ads,Operations Leaders,844,7,6,48.51
2025-12-12,Direct,Returning Visitors,41,41,41,0.0
2026-03-20,linkedin ads,Operations Leaders,922,7,6,46.82
2026-04-03,Direct,Returning Visitors,55,55,55,0.0
2026-04-26,Referral,Customer Referral,8,8,8,0.0
2026-06-24,Organic Search,SEO Guides,4344,139,139,0.0
2026-05-31,Google Ads,High Intent Search,677,32,28,71.33
2026-05-09,Referral,Partner Network,15,15,15,13.88
2025-11-29,Organic Search,SEO Product Pages,2375,76,76,0.0
2025-11-17,LinkedIn Ads,Decision Makers,1109,8,7,60.57
2026-06-05,LinkedIn Ads,SMB Growth,699,5,5,33.44
2026-04-05,Email,Reactivation,447,17,17,6.5
2026-04-01,Email,Lead Nurture,632,24,24,6.5
2026-02-01,Meta Ads,Retargeting,1516,20,18,16.94
2025-11-10,Google Ads,Competitor Search,392,19,18,47.38
2025-12-22,Meta Ads,Awareness Video,3906,51,44,31.01
2026-02-26,Referral,Customer Referral,17,17,17,0.0
2025-11-04,Referral,Customer Referral,18,18,18,0.0
2026-06-20,Google Ads,High Intent Search,777,36,31,82.73
2025-12-17,Direct,Returning Visitors,55,55,55,0.0
2026-06-07,Direct,Demo Page Direct,26,26,26,0.0
2026-01-12,Direct,Demo Page Direct,35,35,35,0.0
2026-02-03,Meta Ads,Retargeting,2521,30,26,25.41
2026-01-03,Google Ads,High Intent Search,316,14,13,32.86
2026-06-08,Organic Search,SEO Comparison,1312,42,42,0.0
2026-03-25,Referral,Partner Network,14,14,14,15.17
2026-04-14,Organic Search,SEO Product Pages,4719,151,151,0.0
2026-04-13,Direct,Returning Visitors,55,55,55,0.0
2025-11-15,Google Ads,Restaurant Operations,408,17,15,33.66
2026-04-19,Referral,Industry Events,7,7,7,1126.33
2026-06-19,Google Ads,Restaurant Operations,498,23,20,43.99
2026-05-18,LinkedIn Ads,Operations Leaders,780,5,4,35.07
2026-06-14,Google Ads,Restaurant Operations,362,17,16,37.61
2026-05-05,Email,Newsletter,816,31,31,6.5
2026-02-20,Organic Search,SEO Comparison,1562,50,50,0.0
2026-05-05,Google Ads,Competitor Search,357,17,15,53.78
2026-05-17,Meta Ads,Retargeting,2069,26,24,20.73
2026-04-16,Google Ads,High Intent Search,800,37,33,88.82
2026-02-22,LinkedIn Ads,SMB Growth,408,3,3,22.1
2026-03-01,Organic Search,SEO Guides,2875,92,92,0.0
2025-12-01,Referral,Partner Network,21,21,21,16.26
2026-01-16,Direct,Returning Visitors,50,50,50,0.0
2026-01-17,Meta Ads,Retargeting,1298,16,14,14.4
2026-04-21,Organic Search,SEO Comparison,1500,48,48,0.0
2025-12-28,Meta Ads,Lead Magnet,1359,18,16,13.95
2026-01-24,Meta Ads,Retargeting,1856,21,19,18.23
2025-12-11,Organic Search,SEO Product Pages,4656,149,149,0.0
2026-05-17,Meta Ads,Awareness Video,5276,68,59,40.17
2026-04-14,Google Ads,High Intent Search,989,43,38,97.85
2026-03-27,Meta Ads,Lead Magnet,3772,44,39,31.25
2026-05-02,Google Ads,Competitor Search,195,9,8,27.31
2026-02-01,Direct,Returning Visitors,32,32,32,0.0
2026-04-06,Organic Search,SEO Product Pages,4812,154,154,0.0
2026-05-14,Referral,Customer Referral,8,8,8,0.0
2026-01-16,Google Ads,High Intent Search,910,39,35,91.67
2026-03-19,Direct,Brand Direct,100,100,100,0.0
2026-06-03,Email,Reactivation,737,28,28,6.5
2026-04-13,Direct,Demo Page Direct,28,28,28,0.0
2026-03-15,Google Ads,Competitor Search,275,13,12,40.04
2026-01-26,Email,Lead Nurture,816,31,31,6.5
2026-05-21,Organic Search,SEO Guides,3719,119,119,0.0
2026-03-10,Direct,Brand Direct,106,106,106,0.0
2026-05-15,Organic Search,SEO Guides,4156,133,133,0.0
2025-12-25,LinkedIn Ads,Operations Leaders,421,3,3,19.03
2026-06-22,Meta Ads,Awareness Video,11760,136,119,78.67
2025-11-21,Email,Newsletter,658,25,25,6.5
2026-03-03,Referral,Industry Events,14,14,14,0.0
2026-04-12,Organic Search,SEO Comparison,875,28,28,0.0
2026-01-13,Google Ads,Competitor Search,421,17,16,54.59
2025-11-11,Referral,Partner Network,11,11,11,11.47
2026-03-23,LinkedIn Ads,Operations Leaders,872,6,5,37.79
2025-12-25,Direct,Returning Visitors,33,33,33,0.0
2026-02-20,Referral,Customer Referral,15,15,15,0.0
2026-04-03,Meta Ads,Awareness Video,7809,106,94,63.03
2026-01-17,Organic Search,SEO Product Pages,2812,90,90,0.0
2025-11-28,Referral,Customer Referral,18,18,18,0.0
2025-12-26,Email,Newsletter,474,18,18,6.5
2026-04-04,LinkedIn Ads,Operations Leaders,557,4,4,27.18
2026-03-26,Google Ads,High Intent Search,822,39,35,85.12
2026-03-20,LinkedIn Ads,SMB Growth,765,6,5,34.41
2026-06-07,Email,Reactivation,526,20,20,6.5
2025-11-28,Referral,Partner Network,15,15,15,13.54
2025-11-26,Meta Ads,Awareness Video,8418,113,102,68.09
2026-06-10,Email,Newsletter,1158,44,44,6.5
2026-05-16,Google Ads,Competitor Search,285,12,10,36.56
2026-04-03,Meta Ads,Lead Magnet,4624,50,44,40.7
2026-06-26,Google Ads,Competitor Search,457,24,21,67.62
2026-06-16,LinkedIn Ads,Operations Leaders,994,7,6,43.23
2026-06-02,Meta Ads,Lead Magnet,4361,50,44,40.17
2026-05-11,Meta Ads,Retargeting,1814,22,19,21.1
2026-02-17,Google Ads,Restaurant Operations,486,21,19,47.57
2026-01-11,Meta Ads,Lead Magnet,3087,36,33,25.93
2025-12-02,LinkedIn Ads,Decision Makers,839,6,5,47.71
2026-01-28,Meta Ads,Retargeting,2429,27,24,23.32
2025-11-13,Organic Search,SEO Product Pages,4156,133,133,0.0
2026-03-01,Meta Ads,Retargeting,1352,17,15,15.6
2026-05-29,linkedin ads,Operations Leaders,891,6,6,37.68
2026-04-08,Direct,Brand Direct,114,114,114,0.0
2026-04-21,Meta Ads,Awareness Video,8737,111,101,62.17
2025-12-13,Referral,Customer Referral,10,10,10,0.0
2026-06-24,Direct,Returning Visitors,64,64,64,0.0
2025-11-16,Google Ads,Competitor Search,278,11,10,31.86
2026-06-05,Direct,Demo Page Direct,35,35,35,0.0
2026-03-11,Google Ads,Restaurant Operations,603,23,21,47.93
2026-02-21,Referral,Partner Network,12,12,12,12.35
2026-05-30,Google Ads,Competitor Search,331,14,13,36.92
2025-11-24,Direct,Brand Direct,94,94,94,0.0
2025-11-27,Meta Ads,Lead Magnet,2559,28,25,24.17
2026-02-15,LinkedIn Ads,Decision Makers,987,7,6,48.2
2026-01-07,Meta Ads,Lead Magnet,3160,42,37,30.7
2026-03-23,Email,Lead Nurture,842,32,32,6.5
2026-06-03,Direct,Returning Visitors,68,68,68,0.0
2026-01-01,Email,Newsletter,421,16,16,6.5
2026-06-14,Meta Ads,Retargeting,2141,23,21,20.56
2025-12-28,Email,Newsletter,474,18,18,6.5
2026-05-26,Organic Search,SEO Comparison,1688,54,54,0.0
2026-01-16,Referral,Partner Network,13,13,13,15.96
2026-02-07,Direct,Returning Visitors,34,34,34,0.0
2026-04-04,Organic Search,SEO Guides,2844,91,91,0.0
2025-12-25,Direct,Demo Page Direct,11,11,11,0.0
2026-04-04,Organic Search,SEO Product Pages,3031,97,97,0.0
2026-02-15,Organic Search,SEO Product Pages,2594,83,83,0.0
2025-12-15,Organic Search,SEO Guides,3844,123,123,0.0
2026-05-29,LinkedIn Ads,SMB Growth,953,6,5,34.42
2025-12-05,Email,Lead Nurture,553,21,21,6.5
2026-04-01,Referral,Industry Events,8,8,8,0.0
2026-06-13,Organic Search,SEO Product Pages,3188,102,102,0.0
2026-06-05,Meta Ads,Retargeting,3237,35,32,28.45
2025-12-16,Email,Newsletter,868,33,33,6.5
2026-06-29,Email,Newsletter,1132,43,43,6.5
2026-04-16,Email,Lead Nurture,868,33,33,6.5
2026-03-07,Direct,Returning Visitors,45,45,45,0.0
2026-04-15,Email,Lead Nurture,500,19,19,6.5
2025-12-13,Google Ads,Restaurant Operations,282,14,13,31.5
2025-11-22,LinkedIn Ads,Decision Makers,645,4,4,29.17
2026-03-04,Direct,Demo Page Direct,26,26,26,0.0
2026-01-21,Meta Ads,Awareness Video,7604,89,79,54.69
2026-02-05,Google Ads,High Intent Search,776,34,31,78.71
2025-12-10,Referral,Partner Network,14,14,14,14.5
2026-02-18,Direct,Demo Page Direct,35,35,35,0.0
2026-03-16,Meta Ads,Lead Magnet,3861,52,46,38.32
2026-05-10,Google Ads,Competitor Search,316,14,13,42.57
2026-04-14,Direct,Brand Direct,126,126,126,0.0
2026-03-09,Direct,Returning Visitors,52,52,52,0.0
2026-02-05,Meta Ads,Retargeting,1810,23,21,21.74
2026-03-17,Referral,Industry Events,9,9,9,0.0
2026-05-09,Meta Ads,Lead Magnet,3280,38,33,26.2
2026-04-18,Direct,Demo Page Direct,25,25,25,0.0
2026-03-13,Meta Ads,Lead Magnet,4427,51,46,39.84
2026-02-08,Referral,Partner Network,20,20,20,10.57
2025-12-18,Organic Search,SEO Product Pages,4094,131,131,0.0
2025-12-01,LinkedIn Ads,Decision Makers,1054,7,6,53.81
2026-02-18,LinkedIn Ads,Decision Makers,822,6,5,49.14
2026-03-27,Email,Reactivation,421,16,16,6.5
2025-11-25,Referral,Customer Referral,15,15,15,0.0
2026-01-27,Meta Ads,Retargeting,1713,21,19,19.53
2026-02-09,Organic Search,SEO Guides,3188,102,102,0.0
2026-05-18,Email,Lead Nurture,816,31,31,6.5
2026-05-19,Direct,Returning Visitors,65,65,65,0.0
2026-02-20,Referral,Partner Network,17,17,17,17.13
2026-03-12,Email,Newsletter,1158,44,44,6.5
2026-04-08,Organic Search,SEO Product Pages,4312,138,138,0.0
2026-04-08,Referral,Partner Network,24,24,24,17.98
2026-05-26,Email,Newsletter,1184,45,45,6.5
2026-04-09,Referral,Customer Referral,16,16,16,0.0
2026-05-13,LinkedIn Ads,Decision Makers,1572,11,10,83.33
